,Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet
,"C1,C2",2,4400uF,,,,Capacitor_THT:CP_Radial_D18.0mm_P7.50mm,~
,"C3,C4",2,100nF,,,,Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm,~
,"C5,C6,C7,C8,C12",5,10uF,,,,Capacitor_THT:CP_Radial_D5.0mm_P2.00mm,~
,C9,1,0.33uF,,,,Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm,~
,C10,1,10uF,,,,Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm,~
,C11,1,100nF,,,,Capacitor_THT:C_Rect_L9.0mm_W4.0mm_P7.50mm_MKT,~
,"D1,D2,D3,D4,D5,D6,D9,D10",8,1N4007,,,,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,~
,D7,1,RED,,,,LED_THT:LED_D5.0mm,~
,D8,1,LED,,,,LED_THT:LED_D5.0mm,~
,D11,1,B40R,,,,Diode_THT:Diode_Bridge_Round_D9.0mm,https://diotec.com/tl_files/diotec/files/pdf/datasheets/b40r.pdf
,H1,1,Disipador,,Excluido del BOM,,Library_recycled_dissipator:Dissipator_recycled,~
,J1,1,Terminal_01x03,,,,Connector_JST:JST_NV_B03P-NV_1x03_P5.00mm_Vertical,~
,J2,1,Terminal_01x04,,,,TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-04P_1x04_P5.00mm,~
,"R4,R6",2,240,,,,Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,~
,"R7,R8",2,2k,,,,Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,~
,"RV1,RV2",2,5k,,,,Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical,~
,U1,1,LM317,,,,Package_TO_SOT_THT:TO-220-3_Vertical,http://www.ti.com/lit/ds/symlink/lm317.pdf
,U2,1,LM337,,,,Package_TO_SOT_THT:TO-220-3_Vertical,http://www.ti.com/lit/ds/symlink/lm337-n.pdf
,U3,1,LM7812,,,,Package_TO_SOT_THT:TO-220-3_Vertical,https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF
,U4,1,LM7805,,,,Package_TO_SOT_THT:TO-220-3_Vertical,https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF
