"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C11,C12","0.1u","~","","4",""
"C3,C4","10u","~","","2",""
"C5","4.7","~","","1",""
"C6,C7","100nF","~","","2",""
"C8","4.7uF","~","","1",""
"C9","2.2u","~","","1",""
"C10","1u","~","","1",""
"D1","D_bridge","~","","1",""
"D2,D3,D4,D5","1N4001","http://www.vishay.com/docs/88503/1n4001.pdf","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","4",""
"D6","D_Zener","~","Diode_THT:D_DO-15_P5.08mm_Vertical_AnodeUp","1",""
"Q1","2N3904","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF","Package_TO_SOT_THT:TO-92_Inline","1",""
"Q2","2N3906","https://www.onsemi.com/pub/Collateral/2N3906-D.PDF","Package_TO_SOT_THT:TO-92_Inline","1",""
"R1,R3","100M","~","","2",""
"R2,R8,R9,R10,R11,RV3,RV4","10k","~","","7",""
"R4,R5","240","~","","2",""
"R6","220k","~","","1",""
"R7","100k","~","","1",""
"R12","100","~","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal","1",""
"RV1,RV2","2k","~","","2",""
"T1","120AC15AC","~","","1",""
"U1,U7,U8","TL071","~","","3",""
"U2","LM317","http://www.ti.com/lit/ds/symlink/lm317l.pdf","Package_TO_SOT_SMD:SOT-89-3","1",""
"U3","LM337","http://www.ti.com/lit/ds/symlink/lm337-n.pdf","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
"U4","OPA124U","~","","1",""
"U5","L7805","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","","1",""
"U6","TL084","http://www.ti.com/lit/ds/symlink/tl081.pdf","","1",""
