"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BZ1","1","Buzzer_r1","","","","Connector_Wire:SolderWire-0.15sqmm_1x02_P4mm_D0.5mm_OD1.5mm_Relief","~"
"BZ2","1","Buzzer_r2","","","","Connector_Wire:SolderWire-0.15sqmm_1x02_P4mm_D0.5mm_OD1.5mm_Relief","~"
"BZ3","1","Buzzer_r3","","","","Connector_Wire:SolderWire-0.15sqmm_1x02_P4mm_D0.5mm_OD1.5mm_Relief","~"
"BZ4","1","Buzzer_r4","","","","Connector_Wire:SolderWire-0.15sqmm_1x02_P4mm_D0.5mm_OD1.5mm_Relief","~"
"C1,C2","2","47uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"C3","1","4.7uF","","Excluido del BOM","Excluido de la placa","Package_DIP:CERDIP-14_W7.62mm_SideBrazed_Socket","~"
"C4,C5","2","100nF","","Excluido del BOM","Excluido de la placa","","~"
"C6","1","4.7uF","","Excluido del BOM","Excluido de la placa","","~"
"C7,C8,C9,C10","4","100nF","","","","Capacitor_THT:C_Disc_D6.0mm_W2.5mm_P5.00mm","~"
"C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C29,C30,C39,C40,C41","15","100nF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~"
"C21,C22,C23,C24,C25,C26,C27,C28","8","3.3uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"C31,C32,C33,C34,C35,C36,C37,C38","8","1nF","","","","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm","~"
"C42","1","10uF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"C43","1","100nF","","","Excluido de la placa","","~"
"D1","1","rojo","","","","LED_THT:LED_D5.0mm","~"
"D2","1","amarillo","","","","LED_THT:LED_D5.0mm","~"
"D3","1","verde","","","","LED_THT:LED_D5.0mm","~"
"D4","1","blanco","","","","LED_THT:LED_D5.0mm","~"
"D5","1","azul","","","","LED_THT:LED_D5.0mm","~"
"J1","1","ADS1115","","","","Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Vertical","~"
"J2","1","MCP4725_VBIAS","","","","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","~"
"J3","1","FC03","","","","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~"
"J4","1","muxL_1-12","","","","Connector_PinSocket_2.54mm:PinSocket_1x12_P2.54mm_Vertical","~"
"J5","1","muxR_13-24","","","","Connector_PinSocket_2.54mm:PinSocket_1x12_P2.54mm_Vertical","~"
"J6","1","espL_1-19","","","","Connector_PinSocket_2.54mm:PinSocket_1x19_P2.54mm_Vertical","~"
"J7","1","espR_20-38","","","","Connector_PinSocket_2.54mm:PinSocket_1x19_P2.54mm_Vertical","~"
"J8","1","Driver_motor","","","","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","~"
"J9","1","MCP4725_1C","","","","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","~"
"J10","1","MCP4725_2C","","","","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","~"
"J11","1","MCP4725_2F","","","","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","~"
"J12","1","MCP4725_3C","","","","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","~"
"J13","1","MCP4725_3F","","","","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","~"
